评分,内容,版本,时间,情绪指数,问题类别,风险标签
3,用了一阵子，感觉普通,1.9.0,2026-07-01,52,内容,低风险
4,笔记质量高，信息量很大,2.0.0,2026-07-08,61,内容,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-05,88,搜索,低风险
4,笔记质量高，信息量很大,2.1.0,2026-07-17,91,搜索,中风险
4,界面简洁，用起来很顺手,2.1.0,2026-07-01,88,电商,中风险
5,视频流畅，加载很快,1.9.0,2026-06-25,82,社区,中风险
1,评论区被水军刷屏,1.8.0,2026-06-05,24,客服,中风险
3,功能还行，中规中矩,1.8.0,2026-07-08,49,功能,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-01,76,搜索,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-06-29,82,内容,低风险
4,界面简洁，用起来很顺手,2.1.0,2026-06-01,95,功能,中风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-18,46,功能,低风险
4,直播体验不错，带货实在,1.8.0,2026-07-12,78,电商,低风险
1,隐私设置形同虚设,1.8.0,2026-06-12,3,内容,高风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-15,78,功能,低风险
4,笔记质量高，信息量很大,2.0.0,2026-07-23,88,搜索,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-05,71,功能,低风险
1,账号莫名被禁言，没有任何通知,2.0.0,2026-06-01,19,客服,高风险
3,一般般，没有惊喜,2.0.0,2026-07-04,26,其他,低风险
2,内容审核乱封号，误伤严重,2.1.0,2026-07-13,1,广告,高风险
2,评论区被水军刷屏,1.9.0,2026-07-18,24,功能,中风险
4,直播体验不错，带货实在,2.0.0,2026-06-18,69,搜索,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-01,79,搜索,中风险
4,搜索准确，找东西方便多了,2.0.0,2026-07-07,72,社区,低风险
2,无故封号，申诉没人理,2.0.0,2026-06-14,8,内容,高风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-05,44,其他,中风险
5,视频流畅，加载很快,1.9.0,2026-07-14,67,电商,低风险
5,攻略很实用，收藏了很多,1.8.0,2026-06-22,86,功能,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-06-26,80,功能,中风险
5,购物链路顺畅，下单方便,1.9.0,2026-07-07,71,社区,低风险
2,广告越来越多，推荐质量下降,2.1.0,2026-06-09,25,账号,中风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-18,66,内容,中风险
3,用了一阵子，感觉普通,2.0.0,2026-06-21,40,功能,低风险
2,笔记被限流，流量骤降,1.9.0,2026-06-11,8,功能,高风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-27,73,社区,中风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-07-22,8,内容,高风险
2,评论区被水军刷屏,2.0.0,2026-07-04,8,账号,高风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-23,79,电商,低风险
3,用了一阵子，感觉普通,2.1.0,2026-07-05,39,内容,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-07,76,搜索,低风险
2,笔记被限流，流量骤降,2.1.0,2026-07-06,20,账号,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-13,36,内容,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-21,51,其他,低风险
1,搜索功能越来越难用,1.9.0,2026-07-18,13,功能,高风险
3,一般般，没有惊喜,1.9.0,2026-07-01,31,功能,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-14,31,功能,低风险
2,广告越来越多，推荐质量下降,1.8.0,2026-07-26,17,广告,高风险
4,社区氛围好，互动很积极,2.0.0,2026-07-13,79,社区,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-06-23,77,电商,低风险
4,攻略很实用，收藏了很多,2.0.0,2026-06-19,72,内容,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-06-05,96,功能,低风险
4,社区氛围好，互动很积极,1.9.0,2026-07-03,65,搜索,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-10,77,搜索,低风险
3,功能还行，中规中矩,1.9.0,2026-07-07,56,功能,中风险
5,视频流畅，加载很快,2.0.0,2026-06-05,63,社区,低风险
4,内容丰富，种草体验很好,1.8.0,2026-06-11,88,功能,低风险
4,社区氛围好，互动很积极,1.8.0,2026-07-23,64,社区,低风险
4,视频流畅，加载很快,2.1.0,2026-06-28,84,电商,低风险
1,更新后经常闪退，体验很差,1.9.0,2026-07-22,0,账号,高风险
4,社区氛围好，互动很积极,1.9.0,2026-07-25,89,社区,低风险
4,直播体验不错，带货实在,1.9.0,2026-07-19,97,内容,低风险
4,内容丰富，种草体验很好,1.8.0,2026-06-17,60,内容,低风险
5,社区氛围好，互动很积极,1.8.0,2026-07-18,85,社区,中风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-07-10,35,功能,低风险
5,内容丰富，种草体验很好,2.0.0,2026-07-04,88,社区,低风险
4,社区氛围好，互动很积极,2.1.0,2026-06-14,68,社区,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-18,89,社区,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-07,26,内容,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-07-18,49,功能,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-06-19,81,功能,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-09,60,社区,低风险
4,搜索准确，找东西方便多了,2.1.0,2026-06-29,70,功能,低风险
2,内容审核乱封号，误伤严重,2.0.0,2026-06-04,10,账号,高风险
4,视频流畅，加载很快,2.1.0,2026-07-07,89,搜索,中风险
2,隐私设置形同虚设,1.8.0,2026-07-10,3,广告,高风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-19,90,电商,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-06-10,77,功能,低风险
2,内容审核乱封号，误伤严重,2.0.0,2026-06-21,3,客服,高风险
4,购物链路顺畅，下单方便,1.8.0,2026-07-16,66,内容,低风险
2,更新后经常闪退，体验很差,1.8.0,2026-06-12,15,内容,高风险
4,笔记质量高，信息量很大,1.9.0,2026-07-23,66,搜索,低风险
3,用了一阵子，感觉普通,2.1.0,2026-07-04,60,内容,中风险
3,用了一阵子，感觉普通,2.1.0,2026-06-06,55,功能,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-21,73,搜索,低风险
4,直播体验不错，带货实在,1.9.0,2026-06-09,61,电商,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-19,73,搜索,中风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-14,68,搜索,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-08,100,搜索,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-22,72,内容,中风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-22,61,电商,低风险
2,内容审核乱封号，误伤严重,1.8.0,2026-06-12,12,账号,高风险
4,购物链路顺畅，下单方便,1.9.0,2026-07-14,98,功能,低风险
5,视频流畅，加载很快,2.0.0,2026-06-10,95,内容,低风险
2,笔记被限流，流量骤降,2.1.0,2026-07-10,8,功能,高风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-18,29,内容,中风险
1,无故封号，申诉没人理,2.1.0,2026-07-27,9,客服,高风险
1,客服完全联系不上，太失望了,1.9.0,2026-06-29,8,客服,高风险
2,广告越来越多，推荐质量下降,1.8.0,2026-06-29,14,广告,高风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-21,50,功能,中风险
5,推荐算法不错，经常有好物,2.0.0,2026-06-25,92,功能,低风险
5,直播体验不错，带货实在,2.0.0,2026-06-12,80,内容,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-06-11,54,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-06,43,内容,中风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-25,78,搜索,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-06-21,93,搜索,低风险
4,内容丰富，种草体验很好,1.8.0,2026-07-09,62,搜索,低风险
2,评论区被水军刷屏,1.9.0,2026-07-15,0,客服,高风险
5,内容丰富，种草体验很好,2.1.0,2026-07-19,80,功能,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-06-13,69,电商,低风险
3,用了一阵子，感觉普通,1.8.0,2026-07-17,31,内容,中风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-07-25,13,广告,高风险
5,购物链路顺畅，下单方便,2.0.0,2026-07-16,83,功能,中风险
4,社区氛围好，互动很积极,1.9.0,2026-07-08,88,搜索,中风险
4,攻略很实用，收藏了很多,2.0.0,2026-07-08,78,功能,中风险
5,视频流畅，加载很快,1.9.0,2026-06-15,67,功能,低风险
3,功能还行，中规中矩,1.9.0,2026-06-13,59,其他,低风险
5,攻略很实用，收藏了很多,1.8.0,2026-07-01,85,电商,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-06-29,26,功能,中风险
3,一般般，没有惊喜,2.1.0,2026-06-10,48,其他,低风险
1,笔记被限流，流量骤降,1.9.0,2026-07-23,12,账号,高风险
2,笔记被限流，流量骤降,1.8.0,2026-07-19,13,客服,高风险
2,更新后经常闪退，体验很差,1.8.0,2026-06-11,23,内容,低风险
5,搜索准确，找东西方便多了,2.1.0,2026-06-05,65,电商,低风险
2,更新后经常闪退，体验很差,2.0.0,2026-06-19,22,内容,低风险
1,内容审核乱封号，误伤严重,1.9.0,2026-07-17,13,客服,高风险
5,视频流畅，加载很快,2.1.0,2026-06-08,89,电商,中风险
5,界面简洁，用起来很顺手,2.1.0,2026-07-30,60,电商,低风险
4,视频流畅，加载很快,1.9.0,2026-07-29,77,电商,低风险
2,账号莫名被禁言，没有任何通知,1.9.0,2026-06-12,0,内容,高风险
3,用了一阵子，感觉普通,1.9.0,2026-06-12,40,功能,低风险
5,直播体验不错，带货实在,1.9.0,2026-06-03,65,电商,低风险
3,功能还行，中规中矩,1.8.0,2026-07-07,40,其他,低风险
3,用了一阵子，感觉普通,2.0.0,2026-07-29,35,其他,低风险
4,内容丰富，种草体验很好,2.1.0,2026-07-01,81,功能,中风险
5,社区氛围好，互动很积极,2.0.0,2026-06-20,61,内容,中风险
4,社区氛围好，互动很积极,2.1.0,2026-07-01,84,功能,低风险
4,视频流畅，加载很快,2.1.0,2026-06-25,70,社区,低风险
4,笔记质量高，信息量很大,2.0.0,2026-07-21,76,社区,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-24,95,电商,低风险
4,内容丰富，种草体验很好,1.8.0,2026-06-24,79,社区,低风险
5,内容丰富，种草体验很好,2.1.0,2026-06-21,93,电商,低风险
3,一般般，没有惊喜,1.8.0,2026-06-25,49,内容,低风险
3,一般般，没有惊喜,2.0.0,2026-06-24,27,功能,中风险
5,推荐算法不错，经常有好物,2.0.0,2026-07-17,94,内容,中风险
1,无故封号，申诉没人理,2.1.0,2026-07-26,5,客服,高风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-07-26,37,内容,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-07-23,58,其他,低风险
4,直播体验不错，带货实在,2.1.0,2026-06-19,89,内容,低风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-06-09,10,内容,高风险
3,用了一阵子，感觉普通,2.1.0,2026-06-20,27,内容,低风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-11,75,电商,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-18,97,功能,低风险
3,功能还行，中规中矩,1.9.0,2026-07-27,37,功能,低风险
4,搜索准确，找东西方便多了,2.0.0,2026-07-09,61,功能,中风险
5,社区氛围好，互动很积极,2.0.0,2026-06-01,95,社区,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-07-07,37,其他,低风险
3,一般般，没有惊喜,2.0.0,2026-06-13,47,功能,中风险
5,社区氛围好，互动很积极,2.1.0,2026-06-08,61,功能,中风险
3,一般般，没有惊喜,2.0.0,2026-06-04,47,内容,中风险
5,直播体验不错，带货实在,2.1.0,2026-06-20,85,电商,低风险
2,客服完全联系不上，太失望了,2.1.0,2026-07-13,16,账号,高风险
2,评论区被水军刷屏,1.8.0,2026-07-05,18,广告,高风险
5,内容丰富，种草体验很好,2.1.0,2026-06-26,100,功能,低风险
2,内容审核乱封号，误伤严重,2.1.0,2026-07-12,4,账号,高风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-27,62,内容,低风险
5,推荐算法不错，经常有好物,2.0.0,2026-06-10,75,功能,低风险
1,搜索功能越来越难用,1.8.0,2026-07-01,0,内容,高风险
1,账号莫名被禁言，没有任何通知,2.0.0,2026-07-12,25,账号,中风险
4,视频流畅，加载很快,1.9.0,2026-07-03,73,功能,中风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-13,92,电商,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-06-15,53,内容,低风险
4,视频流畅，加载很快,1.9.0,2026-07-13,73,电商,低风险
4,社区氛围好，互动很积极,2.0.0,2026-07-29,77,电商,低风险
5,笔记质量高，信息量很大,2.1.0,2026-07-04,61,社区,低风险
5,视频流畅，加载很快,1.9.0,2026-07-30,74,功能,低风险
2,搜索功能越来越难用,1.9.0,2026-07-27,4,账号,高风险
5,搜索准确，找东西方便多了,1.8.0,2026-06-11,72,电商,低风险
4,笔记质量高，信息量很大,1.8.0,2026-07-15,100,内容,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-07-08,29,功能,中风险
1,客服完全联系不上，太失望了,2.1.0,2026-06-19,9,功能,高风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-06,99,电商,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-06-03,96,搜索,中风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-13,87,内容,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-30,72,功能,中风险
2,评论区被水军刷屏,1.9.0,2026-06-02,2,内容,高风险
4,攻略很实用，收藏了很多,1.9.0,2026-07-28,87,社区,中风险
2,隐私设置形同虚设,1.9.0,2026-07-20,22,广告,低风险
5,直播体验不错，带货实在,2.1.0,2026-07-27,100,搜索,低风险
4,内容丰富，种草体验很好,2.1.0,2026-07-04,61,社区,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-01,37,其他,低风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-03,60,电商,中风险
1,账号莫名被禁言，没有任何通知,2.1.0,2026-06-30,7,客服,高风险
5,笔记质量高，信息量很大,2.0.0,2026-07-26,73,搜索,低风险
4,社区氛围好，互动很积极,1.8.0,2026-07-03,94,功能,中风险
3,功能还行，中规中矩,2.1.0,2026-07-08,35,其他,低风险
4,购物链路顺畅，下单方便,1.8.0,2026-06-01,94,电商,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-28,29,内容,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-18,64,功能,中风险
1,广告越来越多，推荐质量下降,2.1.0,2026-06-08,8,内容,高风险
4,搜索准确，找东西方便多了,1.8.0,2026-07-06,63,社区,低风险
5,社区氛围好，互动很积极,2.1.0,2026-06-15,75,电商,中风险
4,内容丰富，种草体验很好,1.9.0,2026-06-01,68,功能,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-07-18,57,内容,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-07-15,93,功能,低风险
3,功能还行，中规中矩,2.1.0,2026-06-01,28,内容,低风险
2,账号莫名被禁言，没有任何通知,2.0.0,2026-07-24,14,广告,高风险
2,广告越来越多，推荐质量下降,1.9.0,2026-07-03,22,账号,低风险
1,更新后经常闪退，体验很差,1.8.0,2026-07-05,14,功能,高风险
5,推荐算法不错，经常有好物,1.8.0,2026-07-15,82,搜索,中风险
4,推荐算法不错，经常有好物,2.1.0,2026-06-18,92,内容,中风险
2,无故封号，申诉没人理,2.0.0,2026-07-12,2,客服,高风险
5,搜索准确，找东西方便多了,2.0.0,2026-06-23,76,社区,低风险
1,笔记被限流，流量骤降,2.1.0,2026-07-23,5,客服,高风险
4,界面简洁，用起来很顺手,1.8.0,2026-07-26,94,功能,低风险
4,攻略很实用，收藏了很多,1.8.0,2026-07-10,93,内容,低风险
2,搜索功能越来越难用,1.8.0,2026-06-07,25,内容,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-07-16,5,广告,高风险
4,视频流畅，加载很快,2.1.0,2026-07-04,66,搜索,低风险
4,社区氛围好，互动很积极,2.0.0,2026-06-23,65,社区,中风险
3,一般般，没有惊喜,2.0.0,2026-06-22,55,其他,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-29,60,功能,低风险
4,界面简洁，用起来很顺手,1.8.0,2026-06-16,76,电商,低风险
3,功能还行，中规中矩,1.9.0,2026-06-25,32,功能,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-18,98,搜索,低风险
1,更新后经常闪退，体验很差,1.9.0,2026-07-26,13,账号,高风险
4,直播体验不错，带货实在,1.8.0,2026-06-18,70,功能,低风险
1,广告越来越多，推荐质量下降,2.1.0,2026-06-06,17,内容,高风险
3,功能还行，中规中矩,1.8.0,2026-06-14,29,其他,低风险
5,社区氛围好，互动很积极,2.1.0,2026-06-25,97,搜索,低风险
4,视频流畅，加载很快,2.1.0,2026-07-27,96,功能,低风险
3,功能还行，中规中矩,1.8.0,2026-07-29,35,功能,中风险
4,视频流畅，加载很快,2.0.0,2026-06-22,83,搜索,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-23,97,搜索,低风险
3,用了一阵子，感觉普通,2.0.0,2026-07-21,45,功能,低风险
4,笔记质量高，信息量很大,1.8.0,2026-06-09,98,搜索,低风险
3,功能还行，中规中矩,1.8.0,2026-07-23,55,功能,中风险
2,隐私设置形同虚设,1.9.0,2026-06-25,25,客服,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-13,75,社区,低风险
4,社区氛围好，互动很积极,1.8.0,2026-06-12,88,内容,低风险
3,用了一阵子，感觉普通,1.8.0,2026-06-12,27,其他,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-13,87,搜索,中风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-27,70,搜索,低风险
5,直播体验不错，带货实在,2.0.0,2026-06-21,79,电商,低风险
2,无故封号，申诉没人理,2.0.0,2026-07-16,2,功能,高风险
2,评论区被水军刷屏,1.9.0,2026-07-24,18,内容,高风险
4,直播体验不错，带货实在,2.1.0,2026-07-19,79,社区,中风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-07-10,49,功能,低风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-05,95,电商,低风险
4,笔记质量高，信息量很大,1.8.0,2026-06-29,65,功能,中风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-24,82,内容,低风险
4,视频流畅，加载很快,1.9.0,2026-07-20,83,社区,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-07-24,83,内容,低风险
5,社区氛围好，互动很积极,2.0.0,2026-07-11,100,功能,低风险
1,无故封号，申诉没人理,1.9.0,2026-07-10,0,广告,高风险
4,笔记质量高，信息量很大,2.0.0,2026-06-17,61,社区,低风险
3,功能还行，中规中矩,1.8.0,2026-07-26,59,其他,低风险
4,内容丰富，种草体验很好,1.9.0,2026-06-20,82,搜索,中风险
2,笔记被限流，流量骤降,1.9.0,2026-07-19,12,客服,高风险
2,评论区被水军刷屏,2.0.0,2026-07-09,3,功能,高风险
1,隐私设置形同虚设,2.1.0,2026-06-22,16,账号,高风险
3,用了一阵子，感觉普通,2.1.0,2026-07-26,26,内容,中风险
1,笔记被限流，流量骤降,2.0.0,2026-06-03,23,账号,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-17,2,客服,高风险
4,直播体验不错，带货实在,1.9.0,2026-06-22,84,内容,低风险
3,一般般，没有惊喜,1.9.0,2026-07-16,45,内容,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-21,99,搜索,低风险
3,用了一阵子，感觉普通,2.0.0,2026-06-18,32,其他,低风险
5,直播体验不错，带货实在,2.1.0,2026-07-23,66,内容,中风险
4,界面简洁，用起来很顺手,2.1.0,2026-07-29,89,社区,中风险
2,广告越来越多，推荐质量下降,1.8.0,2026-07-19,15,广告,高风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-28,89,搜索,中风险
2,广告越来越多，推荐质量下降,2.0.0,2026-06-16,25,内容,中风险
5,攻略很实用，收藏了很多,1.8.0,2026-07-13,79,功能,中风险
4,笔记质量高，信息量很大,2.0.0,2026-06-10,94,电商,低风险
4,搜索准确，找东西方便多了,1.8.0,2026-07-04,77,电商,低风险
4,搜索准确，找东西方便多了,2.1.0,2026-07-19,86,电商,低风险
1,隐私设置形同虚设,1.9.0,2026-07-10,11,客服,高风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-18,93,社区,中风险
4,购物链路顺畅，下单方便,2.1.0,2026-06-27,61,电商,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-07-13,14,广告,高风险
4,界面简洁，用起来很顺手,2.1.0,2026-07-06,95,搜索,低风险
2,评论区被水军刷屏,2.0.0,2026-07-17,12,账号,高风险
4,推荐算法不错，经常有好物,1.8.0,2026-07-27,85,社区,中风险
5,视频流畅，加载很快,2.1.0,2026-07-19,97,社区,中风险
5,内容丰富，种草体验很好,2.0.0,2026-07-23,88,搜索,中风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-07-15,58,功能,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-23,64,功能,低风险
3,用了一阵子，感觉普通,2.1.0,2026-06-16,39,其他,中风险
2,搜索功能越来越难用,1.8.0,2026-07-15,21,功能,低风险
3,一般般，没有惊喜,1.8.0,2026-07-04,44,内容,低风险
2,搜索功能越来越难用,1.8.0,2026-06-14,4,客服,高风险
3,用了一阵子，感觉普通,2.1.0,2026-07-17,57,其他,低风险
4,视频流畅，加载很快,1.8.0,2026-07-17,69,搜索,低风险
5,视频流畅，加载很快,1.9.0,2026-07-23,100,搜索,低风险
5,搜索准确，找东西方便多了,2.1.0,2026-06-06,97,内容,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-17,68,内容,中风险
4,直播体验不错，带货实在,1.8.0,2026-06-10,72,内容,中风险
5,笔记质量高，信息量很大,2.1.0,2026-06-08,67,功能,低风险
4,社区氛围好，互动很积极,2.0.0,2026-06-04,75,内容,低风险
4,笔记质量高，信息量很大,1.8.0,2026-07-12,91,功能,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-06-15,37,内容,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-14,63,搜索,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-19,96,内容,低风险
4,购物链路顺畅，下单方便,2.1.0,2026-06-02,76,电商,中风险
3,功能还行，中规中矩,2.1.0,2026-06-21,37,内容,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-06-25,6,内容,高风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-17,66,社区,低风险
1,更新后经常闪退，体验很差,1.8.0,2026-07-07,15,账号,高风险
5,直播体验不错，带货实在,1.8.0,2026-07-09,80,功能,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-15,93,社区,中风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-14,90,搜索,低风险
5,推荐算法不错，经常有好物,1.8.0,2026-06-15,67,搜索,低风险
1,内容审核乱封号，误伤严重,1.8.0,2026-06-02,19,内容,高风险
1,广告越来越多，推荐质量下降,1.9.0,2026-07-09,19,功能,高风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-30,26,其他,中风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-07-17,41,内容,中风险
4,直播体验不错，带货实在,2.0.0,2026-07-29,99,功能,低风险
3,一般般，没有惊喜,1.9.0,2026-07-18,38,其他,低风险
5,视频流畅，加载很快,1.9.0,2026-06-10,82,搜索,中风险
5,攻略很实用，收藏了很多,2.1.0,2026-07-15,65,功能,低风险
2,更新后经常闪退，体验很差,1.8.0,2026-07-20,25,广告,中风险
4,攻略很实用，收藏了很多,1.8.0,2026-06-06,95,功能,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-18,92,社区,中风险
3,功能还行，中规中矩,2.1.0,2026-07-14,43,内容,低风险
2,隐私设置形同虚设,1.9.0,2026-07-02,19,账号,高风险
5,直播体验不错，带货实在,1.9.0,2026-07-09,69,电商,低风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-28,90,社区,低风险
1,笔记被限流，流量骤降,1.9.0,2026-06-25,17,客服,高风险
5,笔记质量高，信息量很大,1.9.0,2026-06-02,76,功能,低风险
4,笔记质量高，信息量很大,2.1.0,2026-06-06,73,社区,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-02,79,社区,低风险
3,一般般，没有惊喜,2.0.0,2026-07-27,47,内容,中风险
2,隐私设置形同虚设,2.0.0,2026-07-26,13,功能,高风险
4,笔记质量高，信息量很大,1.8.0,2026-07-05,84,功能,中风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-03,64,功能,低风险
5,内容丰富，种草体验很好,2.1.0,2026-06-10,71,社区,低风险
4,内容丰富，种草体验很好,1.9.0,2026-07-05,98,搜索,中风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-03,74,电商,低风险
1,笔记被限流，流量骤降,2.0.0,2026-06-06,9,账号,高风险
3,功能还行，中规中矩,1.8.0,2026-07-15,40,内容,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-02,79,搜索,低风险
5,视频流畅，加载很快,2.1.0,2026-06-04,73,社区,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-06-22,59,功能,低风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-08,95,内容,低风险
5,社区氛围好，互动很积极,1.8.0,2026-06-02,91,搜索,低风险
5,推荐算法不错，经常有好物,2.0.0,2026-07-05,82,电商,低风险
4,推荐算法不错，经常有好物,2.0.0,2026-06-05,62,社区,低风险
2,笔记被限流，流量骤降,1.8.0,2026-07-26,20,内容,低风险
4,视频流畅，加载很快,2.0.0,2026-06-29,84,功能,中风险
3,用了一阵子，感觉普通,1.8.0,2026-07-22,40,其他,中风险
5,直播体验不错，带货实在,1.8.0,2026-07-12,87,搜索,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-25,99,社区,中风险
4,内容丰富，种草体验很好,2.1.0,2026-07-09,79,内容,低风险
3,一般般，没有惊喜,2.1.0,2026-06-09,58,内容,低风险
4,内容丰富，种草体验很好,2.1.0,2026-07-24,81,功能,中风险
2,隐私设置形同虚设,1.9.0,2026-06-15,11,账号,高风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-29,30,其他,中风险
5,社区氛围好，互动很积极,1.8.0,2026-07-06,80,社区,低风险
2,客服完全联系不上，太失望了,1.9.0,2026-06-22,6,客服,高风险
4,笔记质量高，信息量很大,1.9.0,2026-07-02,64,搜索,中风险
3,功能还行，中规中矩,1.9.0,2026-07-25,39,功能,低风险
5,直播体验不错，带货实在,2.1.0,2026-07-15,91,搜索,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-20,85,功能,中风险
5,购物链路顺畅，下单方便,2.1.0,2026-07-01,70,内容,低风险
5,社区氛围好，互动很积极,2.1.0,2026-07-13,72,电商,低风险
1,评论区被水军刷屏,1.8.0,2026-06-13,5,账号,高风险
3,用了一阵子，感觉普通,2.1.0,2026-06-27,41,其他,中风险
5,社区氛围好，互动很积极,2.1.0,2026-07-28,68,社区,中风险
5,搜索准确，找东西方便多了,1.8.0,2026-06-11,64,内容,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-17,32,功能,中风险
5,社区氛围好，互动很积极,1.9.0,2026-06-02,71,电商,低风险
3,一般般，没有惊喜,2.0.0,2026-07-27,60,内容,中风险
5,购物链路顺畅，下单方便,2.0.0,2026-07-25,96,电商,中风险
